id,x,y,z,radius,diameter,mass
1,-0.000524080849497348,-0.0153382137653035,0.000297746173425331,3e-06,6e-06,1.13097335529233e-16
2,-0.000519891502689651,-0.0153405115378048,0.000301399260070962,3e-06,6e-06,1.13097335529233e-16
3,-0.000523802144790786,-0.0153245900660829,0.000301500999967351,3e-06,6e-06,1.13097335529233e-16
4,-0.000522182003199944,-0.0153206708288367,0.000305745375096716,3e-06,6e-06,1.13097335529233e-16
5,-0.000517448863457926,-0.015324932440366,0.000308945825322246,3e-06,6e-06,1.13097335529233e-16
6,-0.000522504772671113,-0.0153330545483342,0.000300372665707555,3e-06,6e-06,1.13097335529233e-16
7,-0.000515012823731354,-0.0153300582402534,0.000306509510958724,3e-06,6e-06,1.13097335529233e-16
8,-0.000516779058752669,-0.0153347943237855,0.00029993061352651,3e-06,6e-06,1.13097335529233e-16
9,-0.000518874431436772,-0.0153286079081778,0.000302136763714232,3e-06,6e-06,1.13097335529233e-16
10,-0.000513524289791002,-0.0153362520364359,0.000308159221562922,3e-06,6e-06,1.13097335529233e-16
11,-0.000526190082016424,-0.0153334347794152,0.00030509219099743,3e-06,6e-06,1.13097335529233e-16
12,-0.000522862442495434,-0.0153266862420092,0.000307043833691651,3e-06,6e-06,1.13097335529233e-16
13,-0.000519283896476926,-0.0153341130739,0.000305340020718886,3e-06,6e-06,1.13097335529233e-16
14,-0.000523995884655264,-0.0153370871882075,0.000312847842623217,3e-06,6e-06,1.13097335529233e-16
15,-0.000525770011239735,-0.0153399404385689,0.000303238470909009,3e-06,6e-06,1.13097335529233e-16
16,-0.000522970546290566,-0.0153319112060555,0.000309991385877921,3e-06,6e-06,1.13097335529233e-16
17,-0.000528676105387786,-0.0153310576491793,0.000312151894250609,3e-06,6e-06,1.13097335529233e-16
18,-0.000517467847962795,-0.0153335158717399,0.000311764901810062,3e-06,6e-06,1.13097335529233e-16
19,-0.000523797545517314,-0.0153225488041102,0.000311287321593596,3e-06,6e-06,1.13097335529233e-16
20,-0.000514242684354081,-0.0153289115488954,0.000313862169185918,3e-06,6e-06,1.13097335529233e-16
21,-0.000519017610480285,-0.0153260095282971,0.000316048369204593,3e-06,6e-06,1.13097335529233e-16
22,-0.000524604847644421,-0.0153281091884009,0.000315427781768789,3e-06,6e-06,1.13097335529233e-16
23,-0.000518798911734901,-0.0153368555333703,0.00031656853887311,3e-06,6e-06,1.13097335529233e-16
24,-0.000527137017790475,-0.0153330523831302,0.000317697790540929,3e-06,6e-06,1.13097335529233e-16
