point_id,x,y,z
1,-0.000535055,-0.0153449,0.000294494
2,-0.000529055,-0.0153449,0.000294494
3,-0.000535055,-0.0153389,0.000294494
4,-0.000529055,-0.0153389,0.000294494
5,-0.000535055,-0.0153449,0.000300494
6,-0.000529055,-0.0153449,0.000300494
7,-0.000535055,-0.0153389,0.000300494
8,-0.000529055,-0.0153389,0.000300494
9,-0.000535055,-0.0153449,0.000300494
10,-0.000529055,-0.0153449,0.000300494
11,-0.000535055,-0.0153389,0.000300494
12,-0.000529055,-0.0153389,0.000300494
13,-0.000535055,-0.0153449,0.000306494
14,-0.000529055,-0.0153449,0.000306494
15,-0.000535055,-0.0153389,0.000306494
16,-0.000529055,-0.0153389,0.000306494
17,-0.000535055,-0.0153449,0.000306494
18,-0.000529055,-0.0153449,0.000306494
19,-0.000535055,-0.0153389,0.000306494
20,-0.000529055,-0.0153389,0.000306494
21,-0.000535055,-0.0153449,0.000312494
22,-0.000529055,-0.0153449,0.000312494
23,-0.000535055,-0.0153389,0.000312494
24,-0.000529055,-0.0153389,0.000312494
25,-0.000535055,-0.0153389,0.000294494
26,-0.000529055,-0.0153389,0.000294494
27,-0.000535055,-0.0153329,0.000294494
28,-0.000529055,-0.0153329,0.000294494
29,-0.000535055,-0.0153389,0.000300494
30,-0.000529055,-0.0153389,0.000300494
31,-0.000535055,-0.0153329,0.000300494
32,-0.000529055,-0.0153329,0.000300494
33,-0.000535055,-0.0153389,0.000300494
34,-0.000529055,-0.0153389,0.000300494
35,-0.000535055,-0.0153329,0.000300494
36,-0.000529055,-0.0153329,0.000300494
37,-0.000535055,-0.0153389,0.000306494
38,-0.000529055,-0.0153389,0.000306494
39,-0.000535055,-0.0153329,0.000306494
40,-0.000529055,-0.0153329,0.000306494
41,-0.000535055,-0.0153389,0.000306494
42,-0.000529055,-0.0153389,0.000306494
43,-0.000535055,-0.0153329,0.000306494
44,-0.000529055,-0.0153329,0.000306494
45,-0.000535055,-0.0153389,0.000312494
46,-0.000529055,-0.0153389,0.000312494
47,-0.000535055,-0.0153329,0.000312494
48,-0.000529055,-0.0153329,0.000312494
49,-0.000535055,-0.0153389,0.000312494
50,-0.000529055,-0.0153389,0.000312494
51,-0.000535055,-0.0153329,0.000312494
52,-0.000529055,-0.0153329,0.000312494
53,-0.000535055,-0.0153389,0.000318494
54,-0.000529055,-0.0153389,0.000318494
55,-0.000535055,-0.0153329,0.000318494
56,-0.000529055,-0.0153329,0.000318494
57,-0.000535055,-0.0153389,0.000318494
58,-0.000529055,-0.0153389,0.000318494
59,-0.000535055,-0.0153329,0.000318494
60,-0.000529055,-0.0153329,0.000318494
61,-0.000535055,-0.0153389,0.000324494
62,-0.000529055,-0.0153389,0.000324494
63,-0.000535055,-0.0153329,0.000324494
64,-0.000529055,-0.0153329,0.000324494
65,-0.000535055,-0.0153389,0.000324494
66,-0.000529055,-0.0153389,0.000324494
67,-0.000535055,-0.0153329,0.000324494
68,-0.000529055,-0.0153329,0.000324494
69,-0.000535055,-0.0153389,0.00032755
70,-0.000529055,-0.0153389,0.00032755
71,-0.000535055,-0.0153329,0.00032755
72,-0.000529055,-0.0153329,0.00032755
73,-0.000535055,-0.0153329,0.000300494
74,-0.000529055,-0.0153329,0.000300494
75,-0.000535055,-0.0153269,0.000300494
76,-0.000529055,-0.0153269,0.000300494
77,-0.000535055,-0.0153329,0.000306494
78,-0.000529055,-0.0153329,0.000306494
79,-0.000535055,-0.0153269,0.000306494
80,-0.000529055,-0.0153269,0.000306494
81,-0.000535055,-0.0153329,0.000306494
82,-0.000529055,-0.0153329,0.000306494
83,-0.000535055,-0.0153269,0.000306494
84,-0.000529055,-0.0153269,0.000306494
85,-0.000535055,-0.0153329,0.000312494
86,-0.000529055,-0.0153329,0.000312494
87,-0.000535055,-0.0153269,0.000312494
88,-0.000529055,-0.0153269,0.000312494
89,-0.000535055,-0.0153329,0.000312494
90,-0.000529055,-0.0153329,0.000312494
91,-0.000535055,-0.0153269,0.000312494
92,-0.000529055,-0.0153269,0.000312494
93,-0.000535055,-0.0153329,0.000318494
94,-0.000529055,-0.0153329,0.000318494
