id,x,y,z,radius,diameter,mass
1,-0.000515785832815468,-0.0153385507647952,0.000301047765267554,1e-06,2e-06,4.18879020478639e-18
2,-0.000517911293017462,-0.0153327627432644,0.000301501630574897,1e-06,2e-06,4.18879020478639e-18
3,-0.000519612962955069,-0.0153381728988528,0.00029701282021231,1e-06,2e-06,4.18879020478639e-18
4,-0.0005260859429515,-0.0153408153658749,0.000299388799209065,1e-06,2e-06,4.18879020478639e-18
5,-0.000517971765869759,-0.0153367434950348,0.000297485677138733,1e-06,2e-06,4.18879020478639e-18
6,-0.000521281592488692,-0.0153381684874975,0.000298210118259121,1e-06,2e-06,4.18879020478639e-18
7,-0.000525531469295749,-0.015321321345053,0.000304116212016631,1e-06,2e-06,4.18879020478639e-18
8,-0.000526015448345999,-0.0153427112639674,0.000300735897493937,1e-06,2e-06,4.18879020478639e-18
9,-0.000512496729388868,-0.0153374094452266,0.000306240472103901,1e-06,2e-06,4.18879020478639e-18
10,-0.000523111015695091,-0.015343737091878,0.000300637834423894,1e-06,2e-06,4.18879020478639e-18
11,-0.000527808457270016,-0.0153385555583253,0.000301335007843899,1e-06,2e-06,4.18879020478639e-18
12,-0.000519377290266748,-0.0153218834916434,0.000302443014537479,1e-06,2e-06,4.18879020478639e-18
13,-0.000525832604371136,-0.0153281646540957,0.000302376040560296,1e-06,2e-06,4.18879020478639e-18
14,-0.000517884309704701,-0.0153214114555361,0.000305371975924325,1e-06,2e-06,4.18879020478639e-18
15,-0.00052582037695827,-0.0153218439025704,0.000302160518609751,1e-06,2e-06,4.18879020478639e-18
16,-0.000521595999061643,-0.0153196969034816,0.000302724448223488,1e-06,2e-06,4.18879020478639e-18
17,-0.000526028248392017,-0.0153229435354033,0.000300502930914417,1e-06,2e-06,4.18879020478639e-18
18,-0.00052276680875214,-0.0153395071838171,0.000298255114729471,1e-06,2e-06,4.18879020478639e-18
19,-0.000524200767444015,-0.0153320820777392,0.000300616119990651,1e-06,2e-06,4.18879020478639e-18
20,-0.000525714349385362,-0.01533828507826,0.000299783921333862,1e-06,2e-06,4.18879020478639e-18
21,-0.000514311429352192,-0.0153298955299385,0.000302767061721369,1e-06,2e-06,4.18879020478639e-18
22,-0.000516396917236283,-0.0153363503123886,0.000300252153956829,1e-06,2e-06,4.18879020478639e-18
23,-0.000523485067373428,-0.0153190512047877,0.000303328065498774,1e-06,2e-06,4.18879020478639e-18
24,-0.000519250228175769,-0.0153226472699611,0.000304309714057163,1e-06,2e-06,4.18879020478639e-18
25,-0.0005270597272918,-0.0153369322958026,0.00030040751299829,1e-06,2e-06,4.18879020478639e-18
26,-0.000523824015824742,-0.0153273004293091,0.000299500999967125,1e-06,2e-06,4.18879020478639e-18
27,-0.000527569176674655,-0.0153224830654183,0.000305391081148285,1e-06,2e-06,4.18879020478639e-18
28,-0.000517475832601543,-0.0153312655305994,0.000298429799288147,1e-06,2e-06,4.18879020478639e-18
29,-0.000518230724499261,-0.0153351843272799,0.00029873646813624,1e-06,2e-06,4.18879020478639e-18
30,-0.000516028847886159,-0.0153307634417543,0.000303312224565902,1e-06,2e-06,4.18879020478639e-18
31,-0.000521931383646878,-0.0153247415111722,0.000303261844009789,1e-06,2e-06,4.18879020478639e-18
32,-0.000522258100470033,-0.0153323692554136,0.000299424146782126,1e-06,2e-06,4.18879020478639e-18
33,-0.000521264768732367,-0.0153371853321596,0.000296468532082312,1e-06,2e-06,4.18879020478639e-18
34,-0.000521695963379252,-0.0153275420406783,0.000302589457841805,1e-06,2e-06,4.18879020478639e-18
35,-0.000520939010486761,-0.0153327004095313,0.000297957738619348,1e-06,2e-06,4.18879020478639e-18
36,-0.000518777320963841,-0.0153393205981017,0.000300249526075775,1e-06,2e-06,4.18879020478639e-18
37,-0.000524149502681344,-0.0153430728224149,0.000299062940545475,1e-06,2e-06,4.18879020478639e-18
38,-0.000523269147685029,-0.0153259991658788,0.000304054744939931,1e-06,2e-06,4.18879020478639e-18
39,-0.000528556275526385,-0.0153302244210718,0.000304390966645673,1e-06,2e-06,4.18879020478639e-18
40,-0.000520288078707703,-0.0153300294200782,0.000298498999967077,1e-06,2e-06,4.18879020478639e-18
41,-0.000525467169964184,-0.0153400972101491,0.000301175105546679,1e-06,2e-06,4.18879020478639e-18
42,-0.000514834417510622,-0.0153277521780263,0.000304090279288372,1e-06,2e-06,4.18879020478639e-18
43,-0.000517876109324005,-0.0153411205732987,0.000300129493376904,1e-06,2e-06,4.18879020478639e-18
44,-0.000528865229100516,-0.0153400377637263,0.000300506575399182,1e-06,2e-06,4.18879020478639e-18
45,-0.000522620690115545,-0.0153361581897959,0.00029752041403159,1e-06,2e-06,4.18879020478639e-18
46,-0.000517928508963509,-0.0153386868334469,0.000297960705148072,1e-06,2e-06,4.18879020478639e-18
47,-0.000520306160024549,-0.0153189001952607,0.000305538029058903,1e-06,2e-06,4.18879020478639e-18
48,-0.000528576373659615,-0.0153351054345719,0.000302365177469378,1e-06,2e-06,4.18879020478639e-18
49,-0.000525143767142324,-0.0153394192627965,0.000298177459272676,1e-06,2e-06,4.18879020478639e-18
50,-0.000513016999967106,-0.0153324250980784,0.00030235704168078,1e-06,2e-06,4.18879020478639e-18
51,-0.000521014717533731,-0.0153274125727618,0.00029950099996718,1e-06,2e-06,4.18879020478639e-18
52,-0.000524046400270383,-0.0153318915936409,0.000298630390823663,1e-06,2e-06,4.18879020478639e-18
53,-0.000528705774235233,-0.0153389466163446,0.000298439704956118,1e-06,2e-06,4.18879020478639e-18
54,-0.000517443486029878,-0.0153346694042738,0.000300533652691403,1e-06,2e-06,4.18879020478639e-18
55,-0.000527890619472432,-0.015324810058008,0.000304160694549774,1e-06,2e-06,4.18879020478639e-18
56,-0.00052735404486659,-0.0153265313645351,0.000303258865554552,1e-06,2e-06,4.18879020478639e-18
57,-0.000524351491239207,-0.015341622672097,0.000300520692007161,1e-06,2e-06,4.18879020478639e-18
58,-0.000524773804949666,-0.0153422874783062,0.000297288453735901,1e-06,2e-06,4.18879020478639e-18
59,-0.000519848871706984,-0.0153258339542837,0.000300074121950145,1e-06,2e-06,4.18879020478639e-18
60,-0.000523761500314234,-0.0153330854405995,0.000303117131135046,1e-06,2e-06,4.18879020478639e-18
61,-0.000517503978108218,-0.0153250051851205,0.000303682745543985,1e-06,2e-06,4.18879020478639e-18
62,-0.000522314725068954,-0.015330596997844,0.000298498999966965,1e-06,2e-06,4.18879020478639e-18
63,-0.000526234331162985,-0.0153356504912638,0.000297158880319596,1e-06,2e-06,4.18879020478639e-18
64,-0.000520162013791937,-0.0153346703728168,0.00029881376988877,1e-06,2e-06,4.18879020478639e-18
65,-0.00052239590087233,-0.0153268684056087,0.000300841229262158,1e-06,2e-06,4.18879020478639e-18
66,-0.000525227614517457,-0.0153341511897193,0.000300766717895537,1e-06,2e-06,4.18879020478639e-18
67,-0.000525251716923525,-0.0153381977816475,0.000301763111688384,1e-06,2e-06,4.18879020478639e-18
68,-0.000518341863340125,-0.0153370107448683,0.000299543838447093,1e-06,2e-06,4.18879020478639e-18
69,-0.000521834204055244,-0.0153184973202779,0.000304312002755364,1e-06,2e-06,4.18879020478639e-18
70,-0.000521921364000736,-0.0153291917740423,0.000299866703518654,1e-06,2e-06,4.18879020478639e-18
71,-0.000519983844462706,-0.0153285516175431,0.000302944060574314,1e-06,2e-06,4.18879020478639e-18
72,-0.00051758593444145,-0.0153377089826907,0.000301273678730038,1e-06,2e-06,4.18879020478639e-18
73,-0.000519470504806806,-0.0153399806684513,0.000298395766095451,1e-06,2e-06,4.18879020478639e-18
74,-0.000525040086841601,-0.0153189017689865,0.000304576898259178,1e-06,2e-06,4.18879020478639e-18
75,-0.000516220085172924,-0.0153343103883236,0.000298911480479997,1e-06,2e-06,4.18879020478639e-18
76,-0.000519047084949766,-0.0153261742366561,0.000302423365685605,1e-06,2e-06,4.18879020478639e-18
77,-0.000523306987250968,-0.0153375344635544,0.000298799033072371,1e-06,2e-06,4.18879020478639e-18
78,-0.000517703174444694,-0.0153276696926422,0.00030250808360926,1e-06,2e-06,4.18879020478639e-18
79,-0.000522743963833263,-0.0153353849241689,0.000300576874377724,1e-06,2e-06,4.18879020478639e-18
80,-0.000519555323177131,-0.0153420496368449,0.000299350664757947,1e-06,2e-06,4.18879020478639e-18
81,-0.000520934107927401,-0.0153236166233612,0.000304783953274915,1e-06,2e-06,4.18879020478639e-18
82,-0.0005207683955055,-0.0153212222250595,0.000303718770230258,1e-06,2e-06,4.18879020478639e-18
83,-0.000523871249255309,-0.0153211647370133,0.000303012063834701,1e-06,2e-06,4.18879020478639e-18
84,-0.00052285607369997,-0.0153408523337898,0.000296495999967092,1e-06,2e-06,4.18879020478639e-18
85,-0.000525825672541898,-0.0153338729459671,0.00029858725438953,1e-06,2e-06,4.18879020478639e-18
86,-0.000521979188277304,-0.015334551708261,0.000296495999967137,1e-06,2e-06,4.18879020478639e-18
87,-0.000521907215073842,-0.0153390791399855,0.000296495999967247,1e-06,2e-06,4.18879020478639e-18
88,-0.000525998912239265,-0.0153393306728026,0.000296317083596365,1e-06,2e-06,4.18879020478639e-18
89,-0.000519424138680254,-0.0153357864849447,0.000296495999967128,1e-06,2e-06,4.18879020478639e-18
90,-0.000520837919759813,-0.0153233220696031,0.000302328094049043,1e-06,2e-06,4.18879020478639e-18
91,-0.000522298566156548,-0.0153219389693365,0.000302048844138095,1e-06,2e-06,4.18879020478639e-18
92,-0.000526606204879021,-0.0153265965982177,0.000301405091084058,1e-06,2e-06,4.18879020478639e-18
93,-0.00052534210028473,-0.0153304882460149,0.000300219195449392,1e-06,2e-06,4.18879020478639e-18
94,-0.000519185768155171,-0.0153202031004195,0.000304449808107505,1e-06,2e-06,4.18879020478639e-18
95,-0.000524327851694895,-0.0153343928210726,0.000297368130636347,1e-06,2e-06,4.18879020478639e-18
96,-0.000518729103453925,-0.0153290312469354,0.000301462311433834,1e-06,2e-06,4.18879020478639e-18
97,-0.000522597601705992,-0.0153237253634647,0.000299500999967028,1e-06,2e-06,4.18879020478639e-18
98,-0.000525012068778097,-0.0153377860218791,0.000295494000000213,1e-06,2e-06,4.18879020478639e-18
99,-0.000523960762442924,-0.0153288550278859,0.000301449167722916,1e-06,2e-06,4.18879020478639e-18
100,-0.000528758956435703,-0.0153358788447798,0.000300461216579736,1e-06,2e-06,4.18879020478639e-18
101,-0.00051762479018975,-0.0153329408657901,0.000299528149208432,1e-06,2e-06,4.18879020478639e-18
102,-0.000520088348208005,-0.015333899999967,0.000296495999967136,1e-06,2e-06,4.18879020478639e-18
103,-0.000520722242311317,-0.0153366992766032,0.000302667250849082,1e-06,2e-06,4.18879020478639e-18
